date,available,availability_count
2022-03-08,t,5259
2022-03-08,f,16477
2022-03-09,f,18064
2022-03-09,t,7506
2022-03-10,f,17917
2022-03-10,t,7654
2022-03-11,f,18262
2022-03-11,t,7310
2022-03-12,f,18269
2022-03-12,t,7304
2022-03-13,t,8538
2022-03-13,f,17034
2022-03-14,t,9196
2022-03-14,f,16376
2022-03-15,f,15952
2022-03-15,t,9620
2022-03-16,t,9664
2022-03-16,f,15910
2022-03-17,f,16281
2022-03-17,t,9294
2022-03-18,t,8529
2022-03-18,f,17046
2022-03-19,f,16916
2022-03-19,t,8659
2022-03-20,f,15545
2022-03-20,t,10031
2022-03-21,t,10849
2022-03-21,f,14727
2022-03-22,t,11234
2022-03-22,f,14342
2022-03-23,t,11123
2022-03-23,f,14453
2022-03-24,f,14786
2022-03-24,t,10790
2022-03-25,f,15321
2022-03-25,t,10255
2022-03-26,f,15084
2022-03-26,t,10492
2022-03-27,f,13821
2022-03-27,t,11755
2022-03-28,f,12993
2022-03-28,t,12583
2022-03-29,f,12704
2022-03-29,t,12872
2022-03-30,t,12888
2022-03-30,f,15211
2022-03-31,t,13181
2022-03-31,f,20442
2022-04-01,t,13351
2022-04-01,f,20272
2022-04-02,t,13560
2022-04-02,f,20063
2022-04-03,t,14484
2022-04-03,f,19139
2022-04-04,f,18608
2022-04-04,t,15015
2022-04-05,t,15288
2022-04-05,f,18335
2022-04-06,t,15265
2022-04-06,f,18357
2022-04-07,t,14983
2022-04-07,f,18639
2022-04-08,t,14523
2022-04-08,f,19098
2022-04-09,t,14469
2022-04-09,f,19152
2022-04-10,t,15281
2022-04-10,f,18340
2022-04-11,t,15753
2022-04-11,f,17869
2022-04-12,f,17660
2022-04-12,t,15962
2022-04-13,t,15872
2022-04-13,f,17750
2022-04-14,f,17875
2022-04-14,t,15746
2022-04-15,t,15568
2022-04-15,f,18053
2022-04-16,f,17788
2022-04-16,t,15833
2022-04-17,t,16470
2022-04-17,f,17151
2022-04-18,f,16917
2022-04-18,t,16705
2022-04-19,t,16780
2022-04-19,f,16842
2022-04-20,t,16686
2022-04-20,f,16936
2022-04-21,t,16639
2022-04-21,f,16983
2022-04-22,t,16508
2022-04-22,f,17114
2022-04-23,f,16845
2022-04-23,t,16776
2022-04-24,t,17509
2022-04-24,f,16113
2022-04-25,t,17949
2022-04-25,f,15673
2022-04-26,t,18139
2022-04-26,f,15483
2022-04-27,f,15581
2022-04-27,t,18041
2022-04-28,t,17667
2022-04-28,f,15955
2022-04-29,t,17241
2022-04-29,f,16380
2022-04-30,t,17546
2022-04-30,f,16075
2022-05-01,f,15022
2022-05-01,t,18598
2022-05-02,t,19126
2022-05-02,f,14494
2022-05-03,f,14339
2022-05-03,t,19281
2022-05-04,f,14354
2022-05-04,t,19266
2022-05-05,t,19041
2022-05-05,f,14579
2022-05-06,t,18794
2022-05-06,f,14824
2022-05-07,f,14754
2022-05-07,t,18865
2022-05-08,t,19396
2022-05-08,f,14224
2022-05-09,f,13888
2022-05-09,t,19732
2022-05-10,t,19686
2022-05-10,f,13934
2022-05-11,f,14241
2022-05-11,t,19379
2022-05-12,t,18656
2022-05-12,f,14964
2022-05-13,f,15676
2022-05-13,t,17944
2022-05-14,f,15695
2022-05-14,t,17925
2022-05-15,f,14768
2022-05-15,t,18853
2022-05-16,t,19694
2022-05-16,f,13926
2022-05-17,f,13675
2022-05-17,t,19945
2022-05-18,t,19890
2022-05-18,f,13730
2022-05-19,f,13959
2022-05-19,t,19660
2022-05-20,t,19267
2022-05-20,f,14352
2022-05-21,f,14384
2022-05-21,t,19234
2022-05-22,f,13855
2022-05-22,t,19764
2022-05-23,f,13469
2022-05-23,t,20151
2022-05-24,t,20261
2022-05-24,f,13359
2022-05-25,f,13451
2022-05-25,t,20169
2022-05-26,f,13726
2022-05-26,t,19895
2022-05-27,f,14086
2022-05-27,t,19533
2022-05-28,t,19428
2022-05-28,f,14191
2022-05-29,t,19761
2022-05-29,f,13856
2022-05-30,t,20269
2022-05-30,f,13349
2022-05-31,f,13004
2022-05-31,t,20616
2022-06-01,f,12806
2022-06-01,t,20814
2022-06-02,f,12886
2022-06-02,t,20734
2022-06-03,t,20572
2022-06-03,f,13046
2022-06-04,t,20600
2022-06-04,f,13018
2022-06-05,f,13275
2022-06-05,t,20344
2022-06-06,t,17489
2022-06-06,f,16129
2022-06-07,t,17494
2022-06-07,f,16125
2022-06-08,t,17393
2022-06-08,f,16225
2022-06-09,f,16469
2022-06-09,t,17147
2022-06-10,t,16923
2022-06-10,f,16692
2022-06-11,f,16685
2022-06-11,t,16932
2022-06-12,t,17218
2022-06-12,f,16400
2022-06-13,f,16166
2022-06-13,t,17453
2022-06-14,f,16044
2022-06-14,t,17574
2022-06-15,f,16060
2022-06-15,t,17558
2022-06-16,f,16140
2022-06-16,t,17478
2022-06-17,t,17419
2022-06-17,f,16198
2022-06-18,t,17464
2022-06-18,f,16154
2022-06-19,t,17678
2022-06-19,f,15939
2022-06-20,t,17793
2022-06-20,f,15825
2022-06-21,f,15784
2022-06-21,t,17834
2022-06-22,f,15862
2022-06-22,t,17756
2022-06-23,t,17618
2022-06-23,f,16000
2022-06-24,f,16191
2022-06-24,t,17426
2022-06-25,f,16201
2022-06-25,t,17417
2022-06-26,f,15941
2022-06-26,t,17677
2022-06-27,t,17868
2022-06-27,f,15750
2022-06-28,t,17585
2022-06-28,f,16032
2022-06-29,f,16096
2022-06-29,t,17523
2022-06-30,t,17364
2022-06-30,f,16254
2022-07-01,f,16593
2022-07-01,t,17023
2022-07-02,t,16945
2022-07-02,f,16670
2022-07-03,t,16946
2022-07-03,f,16668
2022-07-04,t,17198
2022-07-04,f,16418
2022-07-05,t,17515
2022-07-05,f,16102
2022-07-06,t,17561
2022-07-06,f,16056
2022-07-07,f,16127
2022-07-07,t,17490
2022-07-08,f,16166
2022-07-08,t,17453
2022-07-09,f,16173
2022-07-09,t,17445
2022-07-10,t,17534
2022-07-10,f,16082
2022-07-11,f,16010
2022-07-11,t,17606
2022-07-12,f,15994
2022-07-12,t,17621
2022-07-13,f,16016
2022-07-13,t,17600
2022-07-14,t,17508
2022-07-14,f,16108
2022-07-15,t,17469
2022-07-15,f,16151
2022-07-16,t,17496
2022-07-16,f,16124
2022-07-17,f,16008
2022-07-17,t,17608
2022-07-18,f,15955
2022-07-18,t,17660
2022-07-19,t,17681
2022-07-19,f,15934
2022-07-20,t,17676
2022-07-20,f,15940
2022-07-21,t,17626
2022-07-21,f,15987
2022-07-22,f,16057
2022-07-22,t,17560
2022-07-23,t,17576
2022-07-23,f,16041
2022-07-24,t,17680
2022-07-24,f,15933
2022-07-25,t,17769
2022-07-25,f,15846
2022-07-26,f,15805
2022-07-26,t,17808
2022-07-27,f,15830
2022-07-27,t,17786
2022-07-28,f,15919
2022-07-28,t,17698
2022-07-29,t,17626
2022-07-29,f,15993
2022-07-30,t,17710
2022-07-30,f,15909
2022-07-31,t,18058
2022-07-31,f,15559
2022-08-01,t,18116
2022-08-01,f,15501
2022-08-02,t,18134
2022-08-02,f,15484
2022-08-03,t,18106
2022-08-03,f,15511
2022-08-04,f,15554
2022-08-04,t,18063
2022-08-05,t,18073
2022-08-05,f,15544
2022-08-06,f,15489
2022-08-06,t,18129
2022-08-07,t,18279
2022-08-07,f,15337
2022-08-08,t,18354
2022-08-08,f,15261
2022-08-09,t,18389
2022-08-09,f,15228
2022-08-10,f,15216
2022-08-10,t,18401
2022-08-11,t,18382
2022-08-11,f,15236
2022-08-12,f,15275
2022-08-12,t,18343
2022-08-13,f,15225
2022-08-13,t,18393
2022-08-14,f,15052
2022-08-14,t,18565
2022-08-15,t,18623
2022-08-15,f,14993
2022-08-16,t,18633
2022-08-16,f,14982
2022-08-17,t,18643
2022-08-17,f,14974
2022-08-18,f,15008
2022-08-18,t,18610
2022-08-19,f,14997
2022-08-19,t,18621
2022-08-20,t,18669
2022-08-20,f,14949
2022-08-21,f,14830
2022-08-21,t,18788
2022-08-22,f,14785
2022-08-22,t,18832
2022-08-23,t,18845
2022-08-23,f,14772
2022-08-24,f,14744
2022-08-24,t,18873
2022-08-25,t,18832
2022-08-25,f,14786
2022-08-26,f,14867
2022-08-26,t,18751
2022-08-27,f,14839
2022-08-27,t,18779
2022-08-28,t,18926
2022-08-28,f,14691
2022-08-29,f,14575
2022-08-29,t,19043
2022-08-30,f,14528
2022-08-30,t,19090
2022-08-31,t,19141
2022-08-31,f,14477
2022-09-01,t,19180
2022-09-01,f,14438
2022-09-02,t,19106
2022-09-02,f,14515
2022-09-03,t,18445
2022-09-03,f,15176
2022-09-04,f,18322
2022-09-04,t,15295
2022-09-05,t,15385
2022-09-05,f,18233
2022-09-06,f,18226
2022-09-06,t,15395
2022-09-07,f,18233
2022-09-07,t,15388
2022-09-08,f,18231
2022-09-08,t,15389
2022-09-09,f,18282
2022-09-09,t,15338
2022-09-10,t,15359
2022-09-10,f,18261
2022-09-11,f,18219
2022-09-11,t,15400
2022-09-12,f,18202
2022-09-12,t,15419
2022-09-13,t,15400
2022-09-13,f,18221
2022-09-14,t,15385
2022-09-14,f,18236
2022-09-15,t,15350
2022-09-15,f,18267
2022-09-16,t,15310
2022-09-16,f,18311
2022-09-17,f,18298
2022-09-17,t,15323
2022-09-18,f,18251
2022-09-18,t,15365
2022-09-19,t,15391
2022-09-19,f,18228
2022-09-20,t,15417
2022-09-20,f,18202
2022-09-21,f,18187
2022-09-21,t,15432
2022-09-22,f,18216
2022-09-22,t,15403
2022-09-23,f,18245
2022-09-23,t,15376
2022-09-24,t,15389
2022-09-24,f,18231
2022-09-25,f,18166
2022-09-25,t,15452
2022-09-26,f,18275
2022-09-26,t,15344
2022-09-27,f,18252
2022-09-27,t,15367
2022-09-28,t,15373
2022-09-28,f,18246
2022-09-29,f,18238
2022-09-29,t,15379
2022-09-30,f,18268
2022-09-30,t,15352
2022-10-01,f,18276
2022-10-01,t,15345
2022-10-02,t,15406
2022-10-02,f,18213
2022-10-03,t,15432
2022-10-03,f,18189
2022-10-04,f,18193
2022-10-04,t,15428
2022-10-05,f,18209
2022-10-05,t,15412
2022-10-06,f,18229
2022-10-06,t,15390
2022-10-07,f,18276
2022-10-07,t,15344
2022-10-08,t,15333
2022-10-08,f,18287
2022-10-09,f,18227
2022-10-09,t,15393
2022-10-10,f,18197
2022-10-10,t,15425
2022-10-11,t,15425
2022-10-11,f,18197
2022-10-12,f,18204
2022-10-12,t,15418
2022-10-13,f,18242
2022-10-13,t,15378
2022-10-14,f,18269
2022-10-14,t,15353
2022-10-15,t,15365
2022-10-15,f,18257
2022-10-16,f,18216
2022-10-16,t,15406
2022-10-17,f,18170
2022-10-17,t,15452
2022-10-18,f,18167
2022-10-18,t,15455
2022-10-19,f,18195
2022-10-19,t,15427
2022-10-20,t,15414
2022-10-20,f,18205
2022-10-21,f,18216
2022-10-21,t,15405
2022-10-22,t,15426
2022-10-22,f,18196
2022-10-23,t,15458
2022-10-23,f,18161
2022-10-24,f,18131
2022-10-24,t,15491
2022-10-25,t,15505
2022-10-25,f,18117
2022-10-26,t,15501
2022-10-26,f,18121
2022-10-27,f,18118
2022-10-27,t,15501
2022-10-28,f,18123
2022-10-28,t,15499
2022-10-29,f,18134
2022-10-29,t,15488
2022-10-30,f,18111
2022-10-30,t,15511
2022-10-31,f,18103
2022-10-31,t,15519
2022-11-01,f,18115
2022-11-01,t,15507
2022-11-02,f,18228
2022-11-02,t,15394
2022-11-03,t,15397
2022-11-03,f,18225
2022-11-04,f,18227
2022-11-04,t,15395
2022-11-05,t,15410
2022-11-05,f,18212
2022-11-06,f,18171
2022-11-06,t,15451
2022-11-07,t,15463
2022-11-07,f,18159
2022-11-08,t,15470
2022-11-08,f,18152
2022-11-09,t,15450
2022-11-09,f,18172
2022-11-10,t,15450
2022-11-10,f,18172
2022-11-11,t,15443
2022-11-11,f,18179
2022-11-12,t,15456
2022-11-12,f,18166
2022-11-13,t,15479
2022-11-13,f,18143
2022-11-14,f,18138
2022-11-14,t,15484
2022-11-15,t,15480
2022-11-15,f,18142
2022-11-16,f,18148
2022-11-16,t,15474
2022-11-17,t,15477
2022-11-17,f,18145
2022-11-18,f,18157
2022-11-18,t,15465
2022-11-19,f,18178
2022-11-19,t,15444
2022-11-20,f,18178
2022-11-20,t,15444
2022-11-21,f,18188
2022-11-21,t,15434
2022-11-22,t,15424
2022-11-22,f,18198
2022-11-23,f,18246
2022-11-23,t,15374
2022-11-24,t,15360
2022-11-24,f,18260
2022-11-25,t,15375
2022-11-25,f,18244
2022-11-26,t,15408
2022-11-26,f,18213
2022-11-27,t,15440
2022-11-27,f,18182
2022-11-28,f,18142
2022-11-28,t,15480
2022-11-29,f,18139
2022-11-29,t,15483
2022-11-30,f,18142
2022-11-30,t,15480
2022-12-01,f,18158
2022-12-01,t,15463
2022-12-02,f,18429
2022-12-02,t,15192
2022-12-03,t,14293
2022-12-03,f,19328
2022-12-04,f,19257
2022-12-04,t,14365
2022-12-05,t,14401
2022-12-05,f,19221
2022-12-06,f,19227
2022-12-06,t,14395
2022-12-07,f,19238
2022-12-07,t,14384
2022-12-08,f,19237
2022-12-08,t,14385
2022-12-09,t,14396
2022-12-09,f,19226
2022-12-10,f,19222
2022-12-10,t,14400
2022-12-11,f,19224
2022-12-11,t,14398
2022-12-12,f,19226
2022-12-12,t,14396
2022-12-13,f,19225
2022-12-13,t,14397
2022-12-14,t,14393
2022-12-14,f,19229
2022-12-15,f,19230
2022-12-15,t,14392
2022-12-16,f,19235
2022-12-16,t,14387
2022-12-17,f,19237
2022-12-17,t,14384
2022-12-18,t,14385
2022-12-18,f,19236
2022-12-19,f,19238
2022-12-19,t,14384
2022-12-20,f,19254
2022-12-20,t,14368
2022-12-21,f,19288
2022-12-21,t,14334
2022-12-22,f,19305
2022-12-22,t,14317
2022-12-23,t,14283
2022-12-23,f,19339
2022-12-24,f,19353
2022-12-24,t,14269
2022-12-25,f,19400
2022-12-25,t,14222
2022-12-26,f,19390
2022-12-26,t,14232
2022-12-27,f,19371
2022-12-27,t,14251
2022-12-28,t,14237
2022-12-28,f,19385
2022-12-29,f,19388
2022-12-29,t,14234
2022-12-30,f,19429
2022-12-30,t,14193
2022-12-31,f,19419
2022-12-31,t,14203
2023-01-01,f,19376
2023-01-01,t,14246
2023-01-02,t,14300
2023-01-02,f,19321
2023-01-03,t,14311
2023-01-03,f,19311
2023-01-04,t,14335
2023-01-04,f,19283
2023-01-05,t,14348
2023-01-05,f,19273
2023-01-06,f,19258
2023-01-06,t,14361
2023-01-07,f,19255
2023-01-07,t,14364
2023-01-08,f,19252
2023-01-08,t,14369
2023-01-09,f,19254
2023-01-09,t,14368
2023-01-10,t,14388
2023-01-10,f,19234
2023-01-11,f,19231
2023-01-11,t,14391
2023-01-12,f,19230
2023-01-12,t,14392
2023-01-13,t,14400
2023-01-13,f,19221
2023-01-14,f,19220
2023-01-14,t,14401
2023-01-15,t,14409
2023-01-15,f,19213
2023-01-16,f,19216
2023-01-16,t,14406
2023-01-17,f,19216
2023-01-17,t,14406
2023-01-18,f,19217
2023-01-18,t,14405
2023-01-19,f,19218
2023-01-19,t,14404
2023-01-20,t,14412
2023-01-20,f,19209
2023-01-21,f,19215
2023-01-21,t,14406
2023-01-22,t,14418
2023-01-22,f,19204
2023-01-23,f,19206
2023-01-23,t,14416
2023-01-24,t,14412
2023-01-24,f,19210
2023-01-25,t,14417
2023-01-25,f,19205
2023-01-26,f,19187
2023-01-26,t,14435
2023-01-27,f,19188
2023-01-27,t,14433
2023-01-28,t,14431
2023-01-28,f,19190
2023-01-29,t,14439
2023-01-29,f,19183
2023-01-30,t,14437
2023-01-30,f,19185
2023-01-31,t,14443
2023-01-31,f,19179
2023-02-01,t,14450
2023-02-01,f,19172
2023-02-02,f,19172
2023-02-02,t,14449
2023-02-03,f,19167
2023-02-03,t,14452
2023-02-04,t,14461
2023-02-04,f,19161
2023-02-05,f,19160
2023-02-05,t,14459
2023-02-06,t,14456
2023-02-06,f,19166
2023-02-07,t,14459
2023-02-07,f,19162
2023-02-08,t,14458
2023-02-08,f,19161
2023-02-09,f,19181
2023-02-09,t,14439
2023-02-10,f,19159
2023-02-10,t,14462
2023-02-11,t,14462
2023-02-11,f,19159
2023-02-12,t,14465
2023-02-12,f,19157
2023-02-13,f,19155
2023-02-13,t,14466
2023-02-14,t,14430
2023-02-14,f,19191
2023-02-15,t,14430
2023-02-15,f,19190
2023-02-16,f,19186
2023-02-16,t,14436
2023-02-17,t,14437
2023-02-17,f,19185
2023-02-18,t,14438
2023-02-18,f,19184
2023-02-19,t,14436
2023-02-19,f,19186
2023-02-20,f,19184
2023-02-20,t,14438
2023-02-21,f,19175
2023-02-21,t,14445
2023-02-22,f,19176
2023-02-22,t,14445
2023-02-23,t,14443
2023-02-23,f,19179
2023-02-24,f,19176
2023-02-24,t,14446
2023-02-25,t,14437
2023-02-25,f,19185
2023-02-26,f,19183
2023-02-26,t,14439
2023-02-27,f,19185
2023-02-27,t,14437
2023-02-28,f,19169
2023-02-28,t,14454
2023-03-01,f,19146
2023-03-01,t,14475
2023-03-02,f,19141
2023-03-02,t,14481
2023-03-03,f,19133
2023-03-03,t,14489
2023-03-04,t,14493
2023-03-04,f,19129
2023-03-05,f,19129
2023-03-05,t,14494
2023-03-06,t,14492
2023-03-06,f,19130
2023-03-07,f,19979
2023-03-07,t,13643
2023-03-08,t,1798
2023-03-08,f,10092
2023-03-09,t,150
2023-03-09,f,7899
2023-03-10,t,149
2023-03-10,f,7900
2023-03-11,t,149
2023-03-11,f,7900
2023-03-12,t,149
2023-03-12,f,7900
2023-03-13,t,150
2023-03-13,f,7899
2023-03-14,f,7899
2023-03-14,t,150
2023-03-15,t,150
2023-03-15,f,7899
2023-03-16,t,150
2023-03-16,f,7899
2023-03-17,t,147
2023-03-17,f,7900
2023-03-18,t,146
2023-03-18,f,7901
2023-03-19,t,148
2023-03-19,f,7899
2023-03-20,f,7898
2023-03-20,t,149
2023-03-21,f,7898
2023-03-21,t,149
2023-03-22,f,7898
2023-03-22,t,149
2023-03-23,t,148
2023-03-23,f,7899
2023-03-24,t,147
2023-03-24,f,7900
2023-03-25,t,147
2023-03-25,f,7900
2023-03-26,t,148
2023-03-26,f,7899
2023-03-27,t,148
2023-03-27,f,7899
