date,available,total,average_price
2022-03-11,t,7310,448.0800
2022-03-12,t,7304,446.1182
2023-03-30,t,69,445.3043
2022-03-18,t,8529,430.9264
2022-03-19,t,8659,428.3744
2022-03-10,t,7654,426.0829
2022-03-09,t,7506,420.1281
2022-03-08,t,5259,415.7609
2022-03-13,t,8538,410.4704
2022-03-25,t,10255,405.5147
2022-03-17,t,9294,404.2735
2022-03-26,t,10492,402.4243
2022-03-14,t,9196,396.5667
2022-03-15,t,9620,395.7313
2022-03-16,t,9664,395.6210
2022-03-20,t,10031,395.4075
2022-03-24,t,10790,386.1466
2022-03-23,t,11123,381.5928
2022-03-21,t,10849,380.9665
2022-03-22,t,11234,379.1010
2022-03-27,t,11755,378.2972
2022-07-01,t,17023,377.1546
2022-07-02,t,16945,376.9546
2022-04-01,t,13351,373.2693
2022-04-02,t,13560,370.3328
2022-07-03,t,16946,370.0897
2022-12-31,t,14203,369.6520
2022-12-30,t,14193,367.4211
2022-07-29,t,17626,367.1076
2022-11-25,t,15375,366.1853
2022-11-26,t,15408,366.0722
2022-03-28,t,12583,365.7177
2022-07-30,t,17710,365.1312
2022-07-22,t,17560,365.0359
2022-07-23,t,17576,364.9060
2022-07-16,t,17496,364.8782
2022-07-15,t,17469,364.4690
2022-12-24,t,14269,364.2206
2022-06-10,t,16923,363.6578
2022-06-11,t,16932,363.5663
2022-03-29,t,12872,363.1138
2022-07-09,t,17445,363.0742
2022-07-08,t,17453,362.9347
2022-09-04,t,15295,362.8330
2022-06-25,t,17417,362.7186
2022-03-31,t,13181,362.7070
2022-03-30,t,12888,362.6696
2022-07-04,t,17198,361.0203
2022-06-24,t,17426,360.8161
2022-06-18,t,17464,360.3605
2022-08-12,t,18343,360.0011
2022-08-13,t,18393,359.9635
2022-06-17,t,17419,359.5214
2022-04-08,t,14523,358.7828
2022-09-10,t,15359,358.7814
2022-04-09,t,14469,358.7269
2022-09-09,t,15338,358.2748
2022-08-05,t,18073,358.1952
2022-12-23,t,14283,357.9909
2022-09-24,t,15389,357.8242
2022-08-06,t,18129,357.8022
2022-09-23,t,15376,357.7678
2022-09-16,t,15310,357.6653
2022-09-30,t,15352,357.4783
2022-11-24,t,15360,357.4535
2022-09-17,t,15323,357.2748
2022-10-01,t,15345,357.1807
2022-10-08,t,15333,357.1039
2022-12-25,t,14222,357.0722
2022-10-07,t,15344,356.8724
2023-01-01,t,14246,356.5000
2022-12-29,t,14234,355.5578
2022-10-29,t,15488,355.5129
2022-06-30,t,17364,355.4406
2022-10-15,t,15365,355.1051
2022-09-03,t,18445,354.9193
2022-10-28,t,15499,354.7397
2022-10-14,t,15353,354.3748
2022-10-21,t,15405,354.0368
2022-11-23,t,15374,354.0076
2022-10-22,t,15426,353.7932
2022-08-19,t,18621,353.2439
2022-11-19,t,15444,353.2251
2022-12-26,t,14232,353.1799
2022-08-20,t,18669,353.1725
2022-12-28,t,14237,353.1118
2022-04-15,t,15568,353.0952
2022-11-11,t,15443,352.9164
2022-08-27,t,18779,352.8929
2022-04-16,t,15833,352.6891
2022-07-28,t,17698,352.6801
2022-08-26,t,18751,352.6727
